"网金社酒店代码"	"对应酒店代码"
"H00029720"	"467288"
"H00007258"	"467314"
"H00028806"	"467959"
"H00032995"	"468005"
"H00020480"	"468772"
"H00034319"	"468777"
"H00012179"	"469046"
"H00020431"	"469580"
"H00025218"	"469749"
"H00025214"	"472247"
"H00007380"	"472933"
"H00036081"	"473309"
"H00011959"	"473542"
"H00007395"	"473577"
"H00020424"	"473629"
"H00028803"	"473716"
"H00088848"	"473776"
"H00011979"	"473789"
"H00007419"	"473809"
"H00007418"	"473815"
"H00020414"	"473857"
"H00025211"	"474002"
"H00025207"	"474107"
"H00012588"	"474114"
"H00025176"	"479851"
"H00028798"	"481108"
"H00007555"	"481675"
"H00020409"	"481723"
"H00025170"	"482420"
"H00007578"	"482510"
"H00020407"	"482528"
"H00007587"	"482816"
"H00007592"	"482952"
"H00007600"	"482983"
"H00020403"	"483538"
"H00007613"	"483697"
"H00025157"	"486026"
"H00007844"	"501888"
"H00072777"	"511629"
"H00007936"	"511769"
"H00007935"	"512860"
"H00085267"	"512979"
"H00034460"	"513299"
"H00043453"	"514233"
"H00007988"	"514258"
"H00020397"	"531706"
"H00110669"	"533005"
"H00025093"	"533335"
"H00012498"	"534568"
"H00025048"	"535068"
"H00008319"	"535615"
"H00008323"	"535646"
"H00008748"	"605294"
"H00020393"	"605417"
"H00020389"	"607153"
"H00025029"	"608377"
"H00008824"	"608385"
"H00008821"	"608413"
"H00025024"	"608421"
"H00008829"	"608432"
"H00020373"	"632424"
"H00025015"	"634277"
"H00008998"	"634858"
"H00034453"	"638075"
"H00009110"	"643469"
"H00020361"	"650635"
"H00012210"	"655441"
"H00090093"	"657094"
"H00020307"	"660401"
"H00009314"	"660403"
"H00029658"	"660874"
"H00009280"	"660934"
"H00009315"	"661096"
"H00009287"	"661166"
"H00024991"	"667122"
"H00009375"	"667159"
"H00020253"	"667388"
"H00081101"	"668204"
"H00020246"	"668389"
"H00020243"	"668718"
"H00009414"	"668814"
"H00034474"	"669249"
"H00024970"	"689264"
"H00024960"	"690291"
"H00029650"	"691270"
"H00020224"	"697540"
"H00020219"	"697553"
"H00020216"	"698041"
"H00012228"	"698154"
"H00024939"	"698604"
"H00028787"	"698732"
"H00020205"	"699041"
"H00028785"	"699310"
"H00043551"	"699980"
"H00024935"	"700199"
"H00024927"	"700209"
"H00043650"	"701379"
"H00020196"	"701612"
"H00020189"	"701666"
"H00012457"	"702404"
"H00009791"	"705646"
"H00012147"	"706607"
"H00029443"	"707943"
"H00043882"	"707963"
"H00028784"	"709531"
"H00028783"	"711360"
"H00020187"	"712267"
"H00012139"	"732412"
"H00088857"	"732589"
"H00020180"	"732835"
"H00020171"	"735707"
"H00009905"	"736642"
"H00012044"	"738075"
"H00024880"	"742641"
"H00024849"	"747059"
"H00020159"	"747665"
"H00009935"	"747918"
"H00020150"	"749398"
"H00012233"	"749504"
"H00128176"	"751407"
"H00012286"	"752618"
"H00020144"	"752963"
"H00020136"	"753975"
"H00020124"	"760201"
"H00009962"	"760206"
"H00028782"	"763211"
"H00011802"	"763223"
"H00009973"	"763324"
"H00020098"	"763421"
"H00024833"	"763859"
"H00043465"	"763891"
"H00020092"	"764468"
"H00020082"	"772191"
"H00020078"	"772464"
"H00024805"	"776577"
"H00010026"	"776692"
"H00024795"	"776751"
"H00127282"	"778525"
"H00020061"	"778803"
"H00024787"	"779279"
"H00020055"	"779283"
"H00020049"	"779551"
"H00012534"	"781015"
"H00024773"	"790308"
"H00067198"	"790392"
"H00028775"	"790534"
"H00020037"	"793617"
"H00020034"	"793711"
"H00024769"	"793933"
"H00020031"	"794579"
"H00024765"	"802498"
"H00029788"	"802922"
"H00012283"	"803817"
"H00010178"	"808834"
"H00019991"	"808850"
"H00080011"	"808867"
"H00010222"	"812618"
"H00010221"	"812621"
"H00024760"	"813177"
"H00012155"	"813266"
"H00019957"	"820845"
"H00024754"	"820846"
"H00029410"	"820883"
"H00010244"	"820912"
"H00024746"	"820920"
"H00019893"	"820957"
"H00024741"	"820978"
"H00011557"	"821106"
"H00011565"	"821107"
"H00088767"	"821120"
"H00088766"	"821136"
"H00024711"	"821232"
"H00019841"	"821242"
"H00024706"	"821280"
"H00019794"	"821303"
"H00033786"	"821330"
"H00046617"	"821331"
"H00019789"	"821334"
"H00019766"	"821502"
"H00113366"	"821582"
"H00024675"	"821585"
"H00047912"	"821603"
"H00019748"	"821622"
"H00111670"	"821637"
"H00019688"	"821666"
"H00019674"	"821679"
"H00024646"	"821774"
"H00024641"	"821775"
"H00019649"	"821783"
"H00019645"	"821786"
"H00019641"	"821790"
"H00019634"	"821797"
"H00128915"	"821820"
"H00010236"	"821834"
"H00011974"	"821862"
"H00019616"	"821885"
"H00019613"	"821886"
"H00046604"	"821955"
"H00019596"	"821979"
"H00024592"	"822173"
"H00019558"	"822199"
"H00019554"	"822222"
"H00010243"	"822258"
"H00019530"	"822309"
"H00019528"	"822317"
"H00062812"	"822346"
"H00012151"	"822347"
"H00010228"	"822355"
"H00010242"	"823110"
"H00010268"	"825971"
"H00047116"	"827532"
"H00043657"	"827568"
"H00011517"	"832091"
"H00034524"	"832279"
"H00019463"	"832335"
"H00024526"	"832379"
"H00125769"	"832396"
"H00024520"	"832442"
"H00024518"	"832464"
"H00126828"	"832495"
"H00019396"	"832514"
"H00010319"	"835342"
"H00010317"	"835363"
"H00043433"	"835483"
"H00110897"	"835618"
"H00043563"	"835638"
"H00010286"	"835643"
"H00010307"	"835843"
"H00010304"	"835848"
"H00043525"	"835875"
"H00010285"	"835888"
"H00019385"	"835890"
"H00113370"	"835896"
"H00036402"	"835909"
"H00010329"	"835932"
"H00024515"	"837819"
"H00019331"	"838071"
"H00111657"	"841842"
"H00019327"	"841915"
"H00019322"	"845507"
"H00019290"	"847991"
"H00019280"	"847998"
"H00019276"	"848002"
"H00019265"	"852533"
"H00043529"	"853298"
"H00010429"	"853584"
"H00043558"	"854160"
"H00034434"	"855375"
"H00012193"	"857628"
"H00024506"	"858607"
"H00011698"	"859301"
"H00029824"	"890052"
"H00019210"	"894438"
"H00019206"	"894450"
"H00019203"	"894559"
"H00019198"	"894564"
"H00019194"	"894575"
"H00027540"	"894586"
"H00019191"	"894593"
"H00019185"	"894616"
"H00027531"	"894617"
"H00029889"	"894629"
"H00087249"	"894664"
"H00019182"	"894716"
"H00019179"	"894869"
"H00019174"	"894881"
"H00019141"	"895154"
"H00069467"	"895160"
"H00027513"	"895166"
"H00027497"	"895173"
"H00127276"	"895183"
"H00127248"	"895195"
"H00027489"	"895232"
"H00122958"	"895284"
"H00027480"	"895290"
"H00027464"	"895433"
"H00010625"	"895549"
"H00029447"	"895660"
"H00019133"	"895671"
"H00093309"	"896878"
"H00019127"	"898509"
"H00125421"	"903588"
"H00027390"	"910771"
"H00010681"	"910819"
"H00019111"	"910837"
"H00019109"	"910869"
"H00019105"	"910896"
"H00027374"	"910914"
"H00019103"	"910940"
"H00027367"	"910943"
"H00019100"	"910957"
"H00019099"	"910962"
"H00019094"	"910977"
"H00027343"	"911017"
"H00069941"	"911097"
"H00019083"	"911731"
"H00011616"	"913797"
"H00027305"	"913851"
"H00027284"	"913879"
"H00019033"	"914858"
"H00019028"	"915951"
"H00027277"	"916815"
"H00019020"	"917721"
"H00019001"	"918191"
"H00027258"	"918197"
"H00027237"	"920778"
"H00027227"	"920783"
"H00027223"	"922834"
"H00027213"	"923074"
"H00018958"	"925075"
"H00010746"	"925084"
"H00027202"	"925770"
"H00018954"	"926119"
"H00027186"	"926760"
"H00027183"	"927788"
"H00027173"	"927955"
"H00010755"	"928851"
"H00126316"	"931115"
"H00129773"	"932397"
"H00018868"	"946367"
"H00010852"	"965064"
"H00010836"	"965570"
"H00010845"	"965617"
"H00018800"	"967056"
"H00062673"	"969447"
"H00027078"	"969472"
"H00027073"	"969475"
"H00018757"	"975435"
"H00090272"	"975443"
"H00018755"	"975786"
"H00037501"	"976740"
"H00010891"	"976887"
"H00010991"	"979235"
"H00018666"	"979399"
"H00018662"	"979500"
"H00118066"	"980123"
"H00027046"	"980232"
"H00027041"	"980482"
"H00018653"	"981592"
"H00027028"	"981641"
"H00027158"	"981645"
"H00010924"	"981672"
"H00010986"	"981734"
"H00027015"	"982154"
"H00028869"	"982167"
"H00018650"	"984991"
"H00056804"	"991683"
"H00018640"	"993821"
"H00026992"	"994382"
"H00028863"	"995392"
"H00028860"	"995906"
"H00128370"	"996358"
"H00072786"	"996440"
"H00012190"	"996446"
"H00026983"	"996458"
"H00011019"	"996471"
"H00029752"	"996518"
"H00018618"	"996560"
"H00011060"	"997715"
"H00000018"	"1003138"
"H00045243"	"1003690"
"H00018500"	"1004093"
"H00026950"	"1004397"
"H00000021"	"1004421"
"H00018453"	"1004426"
"H00026937"	"1006441"
"H00000035"	"1008154"
"H00026906"	"1009284"
"H00018425"	"1009439"
"H00018418"	"1009443"
"H00018412"	"1009451"
"H00018404"	"1009467"
"H00000033"	"1009474"
"H00026900"	"1012429"
"H00080641"	"1013461"
"H00067586"	"1013542"
"H00029174"	"1013656"
"H00026894"	"1013930"
"H00000042"	"1016978"
"H00018332"	"1017871"
"H00036592"	"1020904"
"H00029167"	"1047921"
"H00018322"	"1048875"
"H00113369"	"1049125"
"H00104901"	"1049204"
"H00000090"	"1053243"
"H00115110"	"1053245"
"H00018292"	"1053355"
"H00018287"	"1053371"
"H00018281"	"1053538"
"H00018278"	"1053547"
"H00018272"	"1053826"
"H00028179"	"1055403"
"H00011932"	"1055556"
"H00018233"	"1056324"
"H00000088"	"1056339"
"H00000094"	"1058310"
"H00029147"	"1058333"
"H00028162"	"1061921"
"H00088633"	"1061975"
