"网金社酒店代码"	"对应酒店代码"
"H00000247"	"42363964"
"H00000248"	"652500637"
"H00000249"	"293827"
"H00000250"	"191199885"
"H00000251"	"162673401"
"H00000252"	"1181541"
"H00000253"	"2394540"
"H00000254"	"294648"
"H00000255"	"160035424"
"H00000256"	"4256427"
"H00000257"	"4462888"
"H00000258"	"3271792"
"H00000259"	"162687740"
"H00000260"	"162700577"
"H00000261"	"1804474214"
"H00000262"	"162697857"
"H00000263"	"162360995"
"H00000264"	"2500952"
"H00000265"	"1429784"
"H00000266"	"162360997"
"H00000267"	"161871852"
"H00000268"	"6706947"
"H00000269"	"280609"
"H00000270"	"162676246"
"H00000271"	"162676753"
"H00000272"	"162147613"
"H00000273"	"162334611"
"H00000274"	"182598809"
"H00000275"	"161132084"
"H00000276"	"162128965"
"H00000277"	"92560571"
"H00000278"	"160588634"
"H00000279"	"5874875"
"H00000280"	"159962185"
"H00000281"	"2164190"
"H00000282"	"161093715"
"H00000283"	"74530137"
"H00000284"	"162784756"
"H00000285"	"6961342"
"H00000286"	"5966670"
"H00000287"	"6970287"
"H00000288"	"51760021"
"H00000289"	"5691809"
"H00000290"	"162807054"
"H00000291"	"6781433"
"H00000292"	"5739759"
"H00000293"	"193460553"
"H00000294"	"160763127"
"H00000295"	"85112489"
"H00000296"	"4738428"
"H00000297"	"365517"
"H00000298"	"6165194"
"H00000299"	"164051552"
"H00000300"	"2027942"
"H00000301"	"93696309"
"H00000302"	"162654891"
"H00000303"	"81231020"
"H00000304"	"5602015"
"H00000305"	"6102171"
"H00000306"	"73108281"
"H00000307"	"4611917"
"H00000308"	"4074661"
"H00000309"	"1005334617"
"H00000310"	"4017685"
"H00000311"	"161413552"
"H00000312"	"5012526"
"H00000313"	"3287727"
"H00000314"	"161823496"
"H00000315"	"4618569"
"H00000316"	"192044335"
"H00000317"	"163140179"
"H00000318"	"160700812"
"H00000319"	"164859339"
"H00000320"	"5721979"
"H00000321"	"162782265"
"H00000322"	"162862319"
"H00000323"	"158377672"
"H00000324"	"163005245"
"H00000325"	"162872783"
"H00000326"	"158893950"
"H00000327"	"162873695"
"H00000328"	"162921622"
"H00000329"	"162847410"
"H00000330"	"162882928"
"H00000331"	"162908208"
"H00000332"	"4890057"
"H00000333"	"5350026"
"H00000334"	"165818098"
"H00000335"	"161882521"
"H00000336"	"163004647"
"H00000337"	"160428228"
"H00000338"	"1446746592"
"H00000339"	"83206171"
"H00000340"	"42116257"
"H00000341"	"162983047"
"H00000342"	"162884503"
"H00000343"	"162931702"
"H00000344"	"161413948"
"H00000345"	"162928771"
"H00000346"	"162758132"
"H00000347"	"157244696"
"H00000348"	"1264489"
"H00000349"	"163006354"
"H00000350"	"119013861"
"H00000351"	"100271826"
"H00000352"	"193370187"
"H00000353"	"88753017"
"H00000354"	"163002949"
"H00000355"	"162053490"
"H00000356"	"162783573"
"H00000357"	"159454679"
"H00000358"	"163022593"
"H00000359"	"1555590293"
"H00000360"	"159708877"
"H00000361"	"114162096"
"H00000362"	"2284487"
"H00000363"	"162952046"
"H00000364"	"162984989"
"H00000365"	"161830122"
"H00000366"	"6045966"
"H00000367"	"162041828"
"H00000368"	"160760689"
"H00000369"	"163006917"
"H00000370"	"163012834"
"H00000371"	"159357204"
"H00000372"	"162993876"
"H00000373"	"162977191"
"H00000374"	"162998970"
"H00000375"	"162815361"
"H00000376"	"163020308"
"H00000377"	"163018951"
"H00000378"	"163103980"
"H00000379"	"163980669"
"H00000380"	"162991183"
"H00000381"	"162782799"
"H00000382"	"5767748"
"H00000383"	"163030596"
"H00000384"	"4387096"
"H00000385"	"1092749"
"H00000386"	"162901785"
"H00000387"	"163035742"
"H00000388"	"163030793"
"H00000389"	"163116439"
"H00000390"	"163119111"
"H00000391"	"162930705"
"H00000392"	"4347622"
"H00000393"	"5254402"
"H00000394"	"158749652"
"H00000395"	"2456819"
"H00000396"	"5349296"
"H00000397"	"2528037"
"H00000398"	"5265967"
"H00000399"	"162162304"
"H00000400"	"191592321"
"H00000401"	"4912546"
"H00000402"	"1402767"
"H00000403"	"2251427"
"H00000404"	"5187899"
"H00000405"	"5781127"
"H00000406"	"6293776"
"H00000407"	"195139722"
"H00000408"	"161111073"
"H00000409"	"162668068"
"H00000410"	"4684766"
"H00000411"	"6152754"
"H00000412"	"163098170"
"H00000413"	"163173463"
"H00000414"	"161063362"
